FID,Nature,Nom,Adresse,Elu,Maire,Nom_de_qua,Source,Date_d'exp,x,y
1,Ancien Hôtel de Ville, ,2 Rue de Paris, ,Ericka BAREIGTS,CENTRE-VILLE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,338582.9013,7690482.9312
2,Centre municipal,Vauban,7b boulevard Vauban 97400 St Denis,Guillaume KICHENAMA, ,VAUBAN,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,340281.5229,7689523.5308
3,Centre municipal,La Source,"52, rue du ruisseau des noirs 97400, St Denis",Jean-Max Boyer, ,LA SOURCE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,338992.5942,7689150.1833
4,Centre municipal,Petite-Ile,"1,rue de Petite Ile 97400 St Denis",Marilyse ISIDORE, ,PETITE ILE BAS DE LA RIVIERE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,337956.94,7690255.61
5,Centre municipal,Prima,"12, rue des lavandière 97490 Ste Clotilde",Sonia BARDINOT, ,PRIMA,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,344310.3267,7688259.8718
6,Centre municipal,Marcadet,Ruelle Marcadet 97400 St Denis,Nouria RAHA, ,MARCADET,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,340095.41,7689888.39
7,Centre municipal,Centre-Ville,51 bis rue Sainte Anne,Raihanah VALY, ,CENTRE-VILLE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,339207.7123,7690274.3955
8,Centre municipal,Moufia 2,"28 D Route de Moufia 97490, Ste Clotilde",Jean-Claude LAKIA-SOUCALIE, ,MOUFIA 2,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,343134.2967,7688183.5683
9,Hôtel de Ville, ,"1, rue Pasteur 97400 St Denis", ,Ericka BAREIGTS,CENTRE-VILLE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,338527.9,7690419.02
10,Mairie annexe,Domenjod,"10, rue impasse Florville 97490, Ste Clotilde",Alexendra CLAIN, ,DOMENJOD,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,344794.84,7686504.91
11,Mairie annexe,Bellepierre,"38,allée des topazes 97400,St DenisSt Denis",David BELDA, ,BELLEPIERRE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,338400.92,7688567.44
12,Mairie annexe,Saint François,"127, Route de St François 97400,St Denis",Geneviève BOMMALAIS, ,SAINT-FRANCOIS,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,339763.2031,7686356.511
13,Mairie annexe,Montagne 15ème,"87 chemin du Père Raimbault 97417,La Montagne",Karel MAGAMOOTOO, ,MONTAGNE 15ème,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,333544.78,7687131.28
14,Mairie annexe,Bretagne,"5,chemin Bois Rouge 97490,Ste Clotilde",Virgile KICHENIN, ,BRETAGNE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,343317.06,7685977.35
15,Mairie annexe,Montgaillard,"44,Boulevard de la Trinité 97400 St Denis",Brigitte ADAME, ,MONTGAILLARD COLLINE DES CAMELIAS,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,340489.13,7688890.64
16,Mairie annexe,Sainte Clotilde,"Place de la liberté 97400, St Denis",Gérard FRANCOISE, ,BUTOR STE-CLOTILDE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,341818.65,7688931.56
17,Mairie annexe,Moufia,"40, rue des Jacynthe 97490,Ste Clotilde",Fernande ANILAH, ,MOUFIA,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,342088.12,7687058.77
18,Mairie annexe,Chaudron,"1,rue Roger Payet 97490, Ste Coltilde",Monique ORPHE, ,CHAUDRON,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,342683.3186,7689009.0734
19,Mairie annexe,Montagne 8ème,"Route des Palmistes 97417, La Montagne",Jean François HOAREAU, ,MONTAGNE 8ème,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,335983.43,7689264.1
20,Mairie annexe,Bois de Nèfles,"132, route des ananas 97490,Ste Clotilde",Audey BELIM, ,BOIS DE NEFLES,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,341692.84,7686347.16
21,Mairie annexe,Brulé,Route des Bambous 97400 St Denis,David BELDA, ,BRULE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,337236.78,7685625.92
22,Mairie annexe,Providence,"31, rue Jean Albany 97400 St Denis",Marie Annick ANDAMAYE, ,CAMELIAS PROVIDENCE,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023,06/11/2023,339546.82,7688917.33
